departement.type,departement.value,code_insee.type,code_insee.value,communePopulation.datatype,communePopulation.type,communePopulation.value,code_commune.type,code_commune.value,departementLabel.xml:lang,departementLabel.type,departementLabel.value,communeLabel.xml:lang,communeLabel.type,communeLabel.value,regionLabel.xml:lang,regionLabel.type,regionLabel.value
uri,http://www.wikidata.org/entity/Q3240,literal,13,http://www.w3.org/2001/XMLSchema#decimal,literal,870731,literal,13002,fr,literal,Bouches-du-Rhône,fr,literal,Marseille,fr,literal,Provence-Alpes-Côte d'Azur
uri,http://www.wikidata.org/entity/Q3240,literal,13,http://www.w3.org/2001/XMLSchema#decimal,literal,47535,literal,13400,fr,literal,Bouches-du-Rhône,fr,literal,Aubagne,fr,literal,Provence-Alpes-Côte d'Azur
uri,http://www.wikidata.org/entity/Q3240,literal,13,http://www.w3.org/2001/XMLSchema#decimal,literal,870731,literal,13001,fr,literal,Bouches-du-Rhône,fr,literal,Marseille,fr,literal,Provence-Alpes-Côte d'Azur
uri,http://www.wikidata.org/entity/Q12788,literal,94,http://www.w3.org/2001/XMLSchema#decimal,literal,93246,literal,94000,fr,literal,Val-de-Marne,fr,literal,Créteil,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q3240,literal,13,http://www.w3.org/2001/XMLSchema#decimal,literal,26428,literal,13140,fr,literal,Bouches-du-Rhône,fr,literal,Miramas,fr,literal,Provence-Alpes-Côte d'Azur
uri,http://www.wikidata.org/entity/Q12788,literal,94,http://www.w3.org/2001/XMLSchema#decimal,literal,27157,literal,94370,fr,literal,Val-de-Marne,fr,literal,Sucy-en-Brie,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12788,literal,94,http://www.w3.org/2001/XMLSchema#decimal,literal,34890,literal,94190,fr,literal,Val-de-Marne,fr,literal,Villeneuve-Saint-Georges,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q3240,literal,13,http://www.w3.org/2001/XMLSchema#decimal,literal,870731,literal,13003,fr,literal,Bouches-du-Rhône,fr,literal,Marseille,fr,literal,Provence-Alpes-Côte d'Azur
uri,http://www.wikidata.org/entity/Q3240,literal,13,http://www.w3.org/2001/XMLSchema#decimal,literal,870731,literal,13013,fr,literal,Bouches-du-Rhône,fr,literal,Marseille,fr,literal,Provence-Alpes-Côte d'Azur
uri,http://www.wikidata.org/entity/Q12788,literal,94,http://www.w3.org/2001/XMLSchema#decimal,literal,30676,literal,94320,fr,literal,Val-de-Marne,fr,literal,Thiais,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12788,literal,94,http://www.w3.org/2001/XMLSchema#decimal,literal,95510,literal,94400,fr,literal,Val-de-Marne,fr,literal,Vitry-sur-Seine,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12788,literal,94,http://www.w3.org/2001/XMLSchema#decimal,literal,74976,literal,94100,fr,literal,Val-de-Marne,fr,literal,Saint-Maur-des-Fossés,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12788,literal,94,http://www.w3.org/2001/XMLSchema#decimal,literal,33588,literal,94170,fr,literal,Val-de-Marne,fr,literal,Le Perreux-sur-Marne,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q3240,literal,13,http://www.w3.org/2001/XMLSchema#decimal,literal,48574,literal,13117,fr,literal,Bouches-du-Rhône,fr,literal,Martigues,fr,literal,Provence-Alpes-Côte d'Azur
uri,http://www.wikidata.org/entity/Q3240,literal,13,http://www.w3.org/2001/XMLSchema#decimal,literal,145133,literal,13090,fr,literal,Bouches-du-Rhône,fr,literal,Aix-en-Provence,fr,literal,Provence-Alpes-Côte d'Azur
uri,http://www.wikidata.org/entity/Q3240,literal,13,http://www.w3.org/2001/XMLSchema#decimal,literal,35993,literal,13600,fr,literal,Bouches-du-Rhône,fr,literal,La Ciotat,fr,literal,Provence-Alpes-Côte d'Azur
uri,http://www.wikidata.org/entity/Q12788,literal,94,http://www.w3.org/2001/XMLSchema#decimal,literal,44805,literal,94140,fr,literal,Val-de-Marne,fr,literal,Alfortville,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q12788,literal,94,http://www.w3.org/2001/XMLSchema#decimal,literal,34042,literal,94130,fr,literal,Val-de-Marne,fr,literal,Nogent-sur-Marne,fr,literal,Île-de-France
uri,http://www.wikidata.org/entity/Q3240,literal,13,http://www.w3.org/2001/XMLSchema#decimal,literal,43626,literal,13800,fr,literal,Bouches-du-Rhône,fr,literal,Istres,fr,literal,Provence-Alpes-Côte d'Azur
uri,http://www.wikidata.org/entity/Q12788,literal,94,http://www.w3.org/2001/XMLSchema#decimal,literal,46150,literal,94600,fr,literal,Val-de-Marne,fr,literal,Choisy-le-Roi,fr,literal,Île-de-France
