departement.type,departement.value,departementLabel.xml:lang,departementLabel.type,departementLabel.value,lieu.type,lieu.value,lieuLabel.xml:lang,lieuLabel.type,lieuLabel.value,imagelieu.type,imagelieu.value,code_insee.type,code_insee.value
uri,http://www.wikidata.org/entity/Q3083,fr,literal,Ain,uri,http://www.wikidata.org/entity/Q112182497,fr,literal,Dinoplagne,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Empreintes%20Dinoplagne%203.jpg,literal,01
uri,http://www.wikidata.org/entity/Q3131,fr,literal,Alpes-de-Haute-Provence,uri,http://www.wikidata.org/entity/Q3478669,fr,literal,Sentier Martel,uri,http://commons.wikimedia.org/wiki/Special:FilePath/01-De%20la%20Maline.jpg,literal,04
uri,http://www.wikidata.org/entity/Q3131,fr,literal,Alpes-de-Haute-Provence,uri,http://www.wikidata.org/entity/Q97143598,,literal,Q97143598,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Sentier%20de%20L%27Imbut%2010.jpg,literal,04
uri,http://www.wikidata.org/entity/Q3139,fr,literal,Alpes-Maritimes,uri,http://www.wikidata.org/entity/Q1849491,fr,literal,promenade des Anglais,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Promenade%20des%20Anglais%2C%20Nice.jpg,literal,06
uri,http://www.wikidata.org/entity/Q3164,fr,literal,Ardennes,uri,http://www.wikidata.org/entity/Q110391340,fr,literal,Le Grand Marionnettiste,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Mus%C3%A9e%20de%20la%20marionette%20Carleville-Mezi%C3%A8res.jpg,literal,08
uri,http://www.wikidata.org/entity/Q3207,fr,literal,Aude,uri,http://www.wikidata.org/entity/Q107722757,fr,literal,Terra Vinea,uri,http://commons.wikimedia.org/wiki/Special:FilePath/P1100806visite%20cave1.JPG,literal,11
uri,http://www.wikidata.org/entity/Q3207,fr,literal,Aude,uri,http://www.wikidata.org/entity/Q107558758,fr,literal,Le Parc australien,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Parc%20australien%20-%20Kangourou%20g%C3%A9ant%2010.jpg,literal,11
uri,http://www.wikidata.org/entity/Q3216,fr,literal,Aveyron,uri,http://www.wikidata.org/entity/Q99236,fr,literal,viaduc de Millau,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Millau%20Viaduct%2C%20France%20%2839307678014%29.jpg,literal,12
uri,http://www.wikidata.org/entity/Q3361,fr,literal,Doubs,uri,http://www.wikidata.org/entity/Q2400070,fr,literal,graduation de la Saline,uri,http://commons.wikimedia.org/wiki/Special:FilePath/B%C3%A2timent%20de%20graduation.jpg,literal,25
uri,http://www.wikidata.org/entity/Q12515,fr,literal,Gard,uri,http://www.wikidata.org/entity/Q189764,fr,literal,pont du Gard,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Pont%20du%20Gard%20BLS.jpg,literal,30
uri,http://www.wikidata.org/entity/Q12515,fr,literal,Gard,uri,http://www.wikidata.org/entity/Q3117188,fr,literal,grotte de la Cocalière,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Grotte%20de%20la%20Cocali%C3%A8re.jpg,literal,30
uri,http://www.wikidata.org/entity/Q12526,fr,literal,Gironde,uri,http://www.wikidata.org/entity/Q108598710,fr,literal,Passerelle Saint-Paul,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Passerelle%20Saint-Paul%20-%20Ville%20d%E2%80%99Hiver.jpg,literal,33
uri,http://www.wikidata.org/entity/Q12526,fr,literal,Gironde,uri,http://www.wikidata.org/entity/Q501726,fr,literal,Dune du Pilat,uri,http://commons.wikimedia.org/wiki/Special:FilePath/DunePyla.JPG,literal,33
uri,http://www.wikidata.org/entity/Q12526,fr,literal,Gironde,uri,http://www.wikidata.org/entity/Q501726,fr,literal,Dune du Pilat,uri,http://commons.wikimedia.org/wiki/Special:FilePath/00%203029%20Dune%20du%20Pilat%20-%20Frankreich.jpg,literal,33
uri,http://www.wikidata.org/entity/Q12526,fr,literal,Gironde,uri,http://www.wikidata.org/entity/Q501726,fr,literal,Dune du Pilat,uri,http://commons.wikimedia.org/wiki/Special:FilePath/00%200025%20Dune%20du%20Pilat%20-%20Atlantikk%C3%BCste%20%28Frankreich%29.jpg,literal,33
uri,http://www.wikidata.org/entity/Q12526,fr,literal,Gironde,uri,http://www.wikidata.org/entity/Q501726,fr,literal,Dune du Pilat,uri,http://commons.wikimedia.org/wiki/Special:FilePath/00%202724%20Dune%20du%20Pilat.jpg,literal,33
uri,http://www.wikidata.org/entity/Q12545,fr,literal,Hérault,uri,http://www.wikidata.org/entity/Q107363897,fr,literal,Musée Parc des dinosaures et de la préhistoire,uri,http://commons.wikimedia.org/wiki/Special:FilePath/FR%3BLU.M%C3%A8ze%20Parc-des-Dinosaures%202015-08-09%2016x9%2BR%208K.jpg,literal,34
uri,http://www.wikidata.org/entity/Q12559,fr,literal,Isère,uri,http://www.wikidata.org/entity/Q111262530,fr,literal,gorges de l'Échaillon,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Chemin%20des%20Gorges%20du%20Guiers%20Vifs%2002.jpg,literal,38
uri,http://www.wikidata.org/entity/Q12584,fr,literal,Maine-et-Loire,uri,http://www.wikidata.org/entity/Q36698440,fr,literal,château de Montsoreau - musée d'Art contemporain,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Chateau%20de%20montsoreau%20museum%20of%20contemporary%20art%20map%203D.jpg,literal,49
uri,http://www.wikidata.org/entity/Q12589,fr,literal,Manche,uri,http://www.wikidata.org/entity/Q20883,fr,literal,mont Saint-Michel,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Mont%20St%20Michel%203%2C%20Brittany%2C%20France%20-%20July%202011.jpg,literal,50
uri,http://www.wikidata.org/entity/Q12589,fr,literal,Manche,uri,http://www.wikidata.org/entity/Q20883,fr,literal,mont Saint-Michel,uri,http://commons.wikimedia.org/wiki/Special:FilePath/00%200572%20Mont%20Saint%20Michel%20abbey.jpg,literal,50
uri,http://www.wikidata.org/entity/Q12642,fr,literal,Morbihan,uri,http://www.wikidata.org/entity/Q3058122,fr,literal,Espace Découverte du sous-marin Flore,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Sous-marin%20La%20Flore%20%C3%A0%20Lorient.JPG,literal,56
uri,http://www.wikidata.org/entity/Q12709,fr,literal,Pyrénées-Orientales,uri,http://www.wikidata.org/entity/Q109265407,fr,literal,Oniria,uri,http://commons.wikimedia.org/wiki/Special:FilePath/Canet%20-%20Oniria%2002.jpg,literal,66
